              Formatid                                                                         Magics                                                                                                                                                                                    Magic Names                                                                                                                               
text/lisp                                 , "x-fmt/63"                                                                                                          [AutoLISP File]                                                                                                                                                                                                                                                    
text/json                                 , "fmt/817"                                                                                                           [JSON Data Interchange Format]                                                                                                                                                                                                                                     
text/ini                                  , "fmt/212", "x-fmt/421"                                                                                              [Information or Setup File] [Text Configuration file]                                                                                                                                                                                                              
text/html                                 , "fmt/96", "fmt/100", "fmt/471"                                                                                      [Hypertext Markup Language] [Hypertext Markup Language (4.01)] [Hypertext Markup Language (5)]                                                                                                                                                                     
text/gedcom                               , "fmt/851"                                                                                                           [Genealogical Data Communication (GEDCOM) Format]                                                                                                                                                                                                                  
text/cue                                  , "fmt/1069"                                                                                                          [Cue Sheet]                                                                                                                                                                                                                                                        
text/csv                                  , "x-fmt/18"                                                                                                          [Comma Separated Values]                                                                                                                                                                                                                                           
text/css                                  , "x-fmt/224"                                                                                                         [Cascading Style Sheet]                                                                                                                                                                                                                                            
text/batDOS                               , "x-fmt/413"                                                                                                         [Batch file (executable)]                                                                                                                                                                                                                                          
text/bas                                  , "fmt/885"                                                                                                           [BASIC File]                                                                                                                                                                                                                                                       
poly/vrml                                 , "fmt/94"                                                                                                            [Virtual Reality Modeling Language (2.0)]                                                                                                                                                                                                                          
poly/studioMesh3D                         , "x-fmt/19"                                                                                                          [3D Studio]                                                                                                                                                                                                                                                        
poly/quickDraw3D                          , "fmt/1050"                                                                                                          [QuickDraw 3D Metafile (Binary) (1)]                                                                                                                                                                                                                               
poly/lightWave                            , "fmt/1205"                                                                                                          [LightWave 3D Object]                                                                                                                                                                                                                                              
poly/iffTDDD                              , "fmt/134", "fmt/1206"                                                                                               [MPEG 1/2 Audio Layer 3] [Impulse 3D Data Description Object]                                                                                                                                                                                                      
poly/cinema4D                             , "fmt/415"                                                                                                           [Cinema 4D (4.x)]                                                                                                                                                                                                                                                  
other/zbasic                              , "fmt/885"                                                                                                           [BASIC File]                                                                                                                                                                                                                                                       
other/windowsProgramGroup                 , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
other/visualBasicForm                     , "fmt/885"                                                                                                           [BASIC File]                                                                                                                                                                                                                                                       
other/sybaseIAnywhereIndex                , "fmt/375"                                                                                                           [FoxPro Compound Index File]                                                                                                                                                                                                                                       
other/quickBasicTokenizedSource           , "fmt/885"                                                                                                           [BASIC File]                                                                                                                                                                                                                                                       
other/printMasterShapeNames               , "x-fmt/102"                                                                                                         [3D Studio Shapes]                                                                                                                                                                                                                                                 
other/powerWindowsProject                 , "x-fmt/353"                                                                                                         [Professional Write Text File]                                                                                                                                                                                                                                     
other/os2INI                              , "x-fmt/421"                                                                                                         [Text Configuration file]                                                                                                                                                                                                                                          
other/gfaBASICAtari                       , "fmt/885"                                                                                                           [BASIC File]                                                                                                                                                                                                                                                       
other/dsstore                             , "fmt/394"                                                                                                           [DS_store file (MAC)]                                                                                                                                                                                                                                              
other/borlandTurboVisionResource          , "x-fmt/427"                                                                                                         [Acrobat Language definition file]                                                                                                                                                                                                                                 
other/borlandReflexDatabase               , "fmt/393"                                                                                                           [Borland Reflex flat datafile]                                                                                                                                                                                                                                     
other/asymetrixToolbook                   , "fmt/470"                                                                                                           [Asymetrix Toolbook File]                                                                                                                                                                                                                                          
music/xm                                  , "fmt/323"                                                                                                           [Extended Module Audio File]                                                                                                                                                                                                                                       
music/trackerPacker                       , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
music/tcbTracker                          , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
music/svarTracker                         , "x-fmt/263"                                                                                                         [ZIP Format]                                                                                                                                                                                                                                                       
music/surpriseTracker                     , "fmt/1552"                                                                                                          [Surprise! Adlib Tracker v2.0 (2.0)]                                                                                                                                                                                                                               
music/starTracker                         , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
music/ssf                                 , "fmt/959"                                                                                                           [Portable Sound Format]                                                                                                                                                                                                                                            
music/specialFX                           , "fmt/134"                                                                                                           [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                                           
music/soundTracker                        , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
music/soundTrackerProII                   , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
music/soundMon                            , "x-fmt/27"                                                                                                          [AutoCAD Batch Plot File (2000-2005)]                                                                                                                                                                                                                              
music/soundFactory                        , "x-fmt/93"                                                                                                          [Postscript Support File]                                                                                                                                                                                                                                          
music/soundFX                             , "fmt/716"                                                                                                           [MOD Audio Module]                                                                                                                                                                                                                                                 
music/sid                                 , "fmt/315", "fmt/316"                                                                                                [Play SID Audio (2)] [Real SID Audio]                                                                                                                                                                                                                              
music/sidMon                              , "fmt/213"                                                                                                           [ScanIt Document]                                                                                                                                                                                                                                                  
music/seanConran                          , "x-fmt/100"                                                                                                         [AutoCAD Script]                                                                                                                                                                                                                                                   
music/s3m                                 , "fmt/717", "fmt/718"                                                                                                [Scream Tracker Module (1-2)] [Scream Tracker Module (3)]                                                                                                                                                                                                          
music/rmi                                 , "fmt/956"                                                                                                           [RIFF-based MIDI]                                                                                                                                                                                                                                                  
music/renoise                             , "x-fmt/263"                                                                                                         [ZIP Format]                                                                                                                                                                                                                                                       
music/rdosRawOPL                          , "x-fmt/185"                                                                                                         [Raw Bitmap]                                                                                                                                                                                                                                                       
music/pollyTracker                        , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
music/okt                                 , "fmt/722"                                                                                                           [Oktalyzer Audio file]                                                                                                                                                                                                                                             
music/octalyser                           , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
music/multiTracker                        , "fmt/719"                                                                                                           [MultiTracker Module]                                                                                                                                                                                                                                              
music/mod                                 , "fmt/716"                                                                                                           [MOD Audio Module]                                                                                                                                                                                                                                                 
music/mikeDavies                          , "fmt/1149"                                                                                                          [Markdown]                                                                                                                                                                                                                                                         
music/mid                                 , "x-fmt/230"                                                                                                         [MIDI Audio]                                                                                                                                                                                                                                                       
music/markII                              , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
music/loudnessSoundSystem                 , "fmt/114"                                                                                                           [Windows Bitmap (1.0)]                                                                                                                                                                                                                                             
music/jamCracker                          , "fmt/975"                                                                                                           [Jamcracker Tracker Module]                                                                                                                                                                                                                                        
music/impulseTracker                      , "fmt/715"                                                                                                           [Impulse Tracker Module]                                                                                                                                                                                                                                           
music/funkTracker                         , "fmt/716", "fmt/718"                                                                                                [MOD Audio Module] [Scream Tracker Module (3)]                                                                                                                                                                                                                     
music/fastTracker                         , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
music/farandoleComposer                   , "fmt/723"                                                                                                           [Farandole Composer Module]                                                                                                                                                                                                                                        
music/digitalTracker                      , "fmt/162"                                                                                                           [Microsoft Multiplan (4.0)]                                                                                                                                                                                                                                        
music/deliTrackerCustom                   , "x-fmt/38"                                                                                                          [AutoCAD Custom Dictionary]                                                                                                                                                                                                                                        
music/cubaseSong                          , "x-fmt/225"                                                                                                         [ESRI MapInfo Data File]                                                                                                                                                                                                                                           
music/cms                                 , "x-fmt/10"                                                                                                          [dBASE Database (IV)]                                                                                                                                                                                                                                              
music/cba                                 , "fmt/1462"                                                                                                          [Comic Book Archive]                                                                                                                                                                                                                                               
music/advancedModuleFormat                , "fmt/960"                                                                                                           [DOS Sound and Music Interface Advanced Module Format]                                                                                                                                                                                                             
image/zxULAPlus                           , "x-fmt/100"                                                                                                         [AutoCAD Script]                                                                                                                                                                                                                                                   
image/zxStellar                           , "fmt/865"                                                                                                           [STL (Standard Tessellation Language) Binary]                                                                                                                                                                                                                      
image/zxSCR                               , "x-fmt/100", "fmt/134"                                                                                              [AutoCAD Script] [MPEG 1/2 Audio Layer 3]                                                                                                                                                                                                                          
image/zxMonochrome                        , "x-fmt/100"                                                                                                         [AutoCAD Script]                                                                                                                                                                                                                                                   
