>>> abydos (v0.2.0) - IMAGE (http://snisurset.net/code/abydos/news.html)
Image format	MIME type(s)	Extension(s)	Supported by abydos	Supported by gdk-pixbuf	Supported by Deark	Supported by ImageMagick	Supported by FFmpeg
 	The Sims 2	*.dat *.package *.sc4lot *.sc4 *.package *.sims2pack *.sims2skin	*.jpg
 	The Sims 4	*.package *.world *.zip	*.dds *.jpg *.png
 	The Sims FreePlay	*.fsb	*.wav
 	The Sims Online	*.dat *.dat *.far *.iff *.wll *.flr *.spf	*.jpg *.wav
 	The Story Goes On	*.win	*.ogg *.png *.wav
 	The Suffering: Ties That Bind	*.adu *.cdu *.fdu *.ldu *.mdu *.odu *.qdu *.sdu *.tdu *.vdu *.wdu *.xdu	
 	The Theodore Adventures	*.nw *.pak	*.ogg *.png *.wav
 	The Tiny Bang Story	*.pfp	*.jpg *.ogg *.png
 	The Tritan Initiative	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	The Tuttles Madcap Misadventures	*.pak	
 	The Uncertain: Episode 1: The Last Quiet Day	*.assets *.resS *.resource	*.Texture2D
 	The UnderGarden	*.dpk *.fsb *.fsb	*.dds *.fsb *.png *.wav *.wav
 	The Universe According To Virgil	*.bin *.bin *.bin *.bin	
 	The Village	*.pak	*.bmp *.jpg *.ogg *.png *.tif
 	The Walking Dead: Survival Instinct	*.pod	
 	The Warrior Of Treasures	*.pak	*.png *.Texture2D
 	The Wheelman	*.u	*.palette *.texture
 	The Witcher	*.bif	*.dds *.wav
 	The Witcher: Enhanced Edition	*.bif	*.dds *.wav
 	Theme Hospital	*.SOUND*.dat	*.wav
 	Theme Park	*.dat	
 	Theme Park World	*.sdt *.wad	
 	They Came From The Moon	*.assets *.resource	*.Texture2D
 	Thick Light	*.nw *.pak	*.ogg *.png
 	Thief	*.u *.upk	*.texture2d
 	Thief 2: The Metal Age	*.crf	*.gif *.pcx *.tif *.wav
 	Thief 3: Deadly Shadows	*.bik *.csc *.gmp *.t3u *.utx *.ibt	*.palette *.texture
 	Thief: The Dark Age	*.crf	*.gif *.pcx *.wav
 	Thirsty Bubble	*.pak	*.png *.Texture2D
 	Thomas Was Alone	*.assets	*.ogg *.Texture2D *.wav
 	THORN	*.pak	*.png *.Texture2D
 	Thread Space Hyperbol	*.hba	*.dds *.ogg *.tga *.wav
 	Throne of Lies	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Thunderhawk	*.wad	
 	Thunderhawk 2	*.wad	
 	Tie Fighter	*.lfd	
 	Timberman	*.assets *.resS *.resource	*.Texture2D
 	Timbertales	*.jar	*.gif *.jpg *.mp3 *.png *.tga
 	Time Machine	*.bf	
 	TimeShift	*.fsb *.s3darc *.s3dpak	*.tcip
 	TimeSplitters Future Perfect	*.pak	
 	TimeSplitters Future Perfect [PS2]	*.pak	
 	TimeSplitters Future Perfect [XBox]	*.pak	
 	Tiny Echo	*.assets *.assets.resS *.resource	*.Texture2D
 	Titan Quest	*.arc	
 	TNN Outdoors Pro Hunter	*.u	*.palette *.texture
 	TOCA Race Driver	*.big	
 	TOCA Race Driver 2	*.big	
 	TOCA Race Driver 3: Honda Civic 2006	*.big	*.dds
 	TOCA Touring Car Championship	*.bfp	*.bmp *.wav
 	Tod Stein	*.assets *.resS *.resource	*.Texture2D
 	Tokyo 42	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Tom Clancy's Ghost Recon Wildlands	*.bnk *.forge *.pck *.tbf	
 	Tom Clancy's H.A.W.X	*.pak *.zip	
 	Tomb Raider 3	*.wad *.zbd *.sfx	*.wav
 	Tomb Raider 4: The Last Revelation	*.sfx	
 	Tomb Raider 5: Chronicles	*.pak	
 	Tomb Raider Underworld	*.000	*.png
 	Tony Hawk: Pro Skater 2	*.bik *.pkr	*.bmp *.wav
 	Too Human	*.u	*.palette *.texture
 	ToolsMedia	*.tma	
 	Torchlight	*.zip	*.dds *.jpg *.ogg *.png *.psd *.tga *.wav
 	Toren	*.assets *.resS	*.AudioClip *.Texture2D
 	Torture Chamber	*.win	*.png *.wav
 	Total Annihilation	*.hpi *.ufo *.ccx *.pck *.zrb	
 	Total Annihilation: Kingdoms	*.hpi	
 	Total Soccer 2000	*.tsl	*.wav
 	Totally Accurate Battlegrounds	*.assets *.resS *.resource	*.Texture2D
 	Totally Mayhem	*.assets *.resS *.resource	*.Texture2D
 	Tower Assault	*.epf	
 	TrackMania Nations Forever	*.zip	*.dds *.jpg
 	Traffic Giant	*.jfl *.obe *.obh	
 	Train Driver 2005	*.ja	
 	Trainz Simulator 2009	*.ja	
 	Traktor Racer	*.sar	
 	Transformers: The Game	*.dat	
 	Transmissions Element 120	*.vpk	*.mp3 *.vtf *.wav
 	Transport Tycoon	*.001 *.cat	*.wav
 	Transport Tycoon Deluxe	*.cat	*.wav
 	Transworld Snowboarding [XBox]	*.hpf	
 	Trash Squad	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Travildorn	*.assets *.resS *.resource	*.Texture2D
 	Tremulous	*.pk3	*.jpg *.tga *.wav
 	Trials 2: Second Edition	*.pak	*.wav
 	Trials of The Illuminati: Animated Christmas Time Jigsaws	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Tribes 2	*.vl2 *.zip	*.avi *.bmp *.jpg *.png *.wav
 	Tribes Vengeance	*.pkg *.tvm *.u *.umj	*.palette *.texture *.texture *.texture *.texture
 	Tribes: Aerial Assault	*.dat *.pkg	*.bmp *.tga
 	Trickstyle	*.pak	
 	Trio	*.assets *.assets.resS *.resource	*.Texture2D
 	Trip	*.assets *.assets.resS *.resource	*.Texture2D
 	Triple Play 98: Home Run Derby	*.big *.viv	
 	Trivia Vault: 1980's Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: 1980's Trivia 2	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Art Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Auto Racing Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Baseball Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Basketball Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Boxing Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Business Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Celebrity Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Classic Rock Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Classic Rock Trivia 2	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Football Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Health Trivia Deluxe	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Mini Mixed Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Mini Mixed Trivia 2	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Mini Mixed Trivia 3	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Mini Mixed Trivia 4	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Mixed Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Olympics Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Science and History Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Science and History Trivia 2	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Super Heroes Trivia	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Super Heroes Trivia 2	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Technology Trivia Deluxe	*.assets *.assets.resS *.resource	*.Texture2D
 	Trivia Vault: Video Game Trivia Deluxe	*.assets *.assets.resS *.resource	*.Texture2D
 	Trolley Gold	*.win	*.png *.wav
 	Tron 2.0	*.rez	
 	Tropico	*.pk2	
 	Tropico 3	*.hpk	*.dds *.jpg *.ogg *.tga
 	Tropico 4	*.hpk	*.dds *.ogg *.tga *.wav
 	Tropico 5	*.hpk	*.dds *.jpg *.tga
 	Tross	*.pak	*.ogg *.png *.Texture2D
 	True Bliss	*.assets	*.AudioClip *.Texture2D
 	True Combat: Elite	*.pk3	*.tga
 	True Crime 2 [PS2]	*.pak	
 	Tumblestone	*.assets *.resS *.resource	*.Texture2D
 	Tuneland	*.bin *.bin *.bin *.bin	
 	Turbo Pug DX	*.assets *.resS *.resource	*.Texture2D
 	Turok 2: Seeds Of Evil	*.11c *.11k *.22k *.lsm *.lss	*.wav
 	Turok: Dinosaur Hunter	*.11k *.22k *.dat	*.wav
 	Twickles	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Twilight	*.001	
 	Twilight City: Love as a Cure	*.pak	*.gif *.jpg *.ogg *.psd
 	Two Worlds	*.lipsync	
 	Two Worlds [XBox]	*.wb *.xwb	
 	Two Worlds 2	*.asncdat *.wd	*.bmp *.dds *.jpg *.ogg *.png *.psd *.tga
 	Tycoon City: New York	*.pak	*.dds *.tga
 	Tyrian 2	*.mus *.lvl *.shp	
 	UEFA Champions League 2004	*.big *.viv	
 	UEFA Champions League 2005	*.big *.viv	
 	UEFA Euro 2004	*.big *.viv	
 	UFO Aftermath	*.vfs	
 	UFO Aftershock	*.vfs	
 	UFO: Alien Invasion	*.pk3	*.jpg *.ogg *.png *.tga *.wav
 	Uganda Know De Way	*.assets *.resS *.resource	*.Texture2D
 	Ukrainian Ball In Search Of Gas	*.assets *.assets.resS *.resource	*.Texture2D
 	Ultima 5	*.dat	
 	Ultima 7	*.dat *.vga *.flx *.spc *.tim *.lbm *.shp	
 	Ultima Online	*.uop	
 	Ultimate Baseball Online	*.paq	*.bmp *.dds *.tga *.wav
 	Ultimate Race Pro	*.bd *.bd4 *.bf *.bf4 *.bp *.bp4 *.bv *.bv4 *.bin *.dcr	*.bd *.bd4 *.bf *.bf4 *.bp *.bp4 *.bv *.bv4 *.bmp *.msk *.jpg *.pcx *.tga *.tga *.wav
 	Ultimate Solid	*.nw *.pak	*.ogg *.png
 	Unblock: The Parking	*.assets *.assets.resS *.resource	*.Texture2D
 	unBorn	*.win	*.ogg *.png *.wav
 	Unbroken Warrior	*.assets *.assets.resS *.resource	*.Texture2D
 	Under Zero	*.assets *.resS *.resource	*.Texture2D
 	Undertaker's	*.assets *.resS *.resource	*.Texture2D
 	Unit 4	*.assets *.assets.resS *.resource	*.AudioClip *.Texture2D
 	Unite Cell	*.assets *.assets.resS *.resource	*.Texture2D
 	Universal Combat: A World Apart	*.zip	*.bmp *.dds *.png *.tga *.wav
 	Unknown Battle	*.assets	*.AudioClip *.Texture2D
 	Unravel	*.kit	*.dds *.ryhp
 	Unreal	*.u *.uax *.umx *.unr *.usa *.utx	*.palette *.texture *.texture
 	Unreal 2: The Awakening	*.u *.uax *.ugx *.un2 *.usx *.utx	*.palette *.texture *.texture
 	Unreal Championship	*.u	*.palette *.texture
 	Unreal Championship 2: The Liandri Conflict	*.u	*.palette *.texture
 	Unreal Championship 2: The Liandri Conflict [XBox]	*.xwb	
 	Unreal Gold	*.u *.uax *.utx	*.texture
 	Unreal Tournament	*.u *.uax *.umx *.unr *.utx	*.palette *.texture *.texture
 	Unreal Tournament 2003	*.u *.uax *.ukx *.usx *.ut2 *.utx *.uvx	*.palette *.texture *.texture
 	Unreal Tournament 2004	*.u *.uax *.ukx *.usx *.ut2 *.utx *.uvx	*.palette *.texture *.texture
 	Unreal Tournament 3	*.u *.upk *.ut3	
 	Unreality	*.u	*.palette *.texture
 	Unturned	*.assets *.resS *.resource	*.AudioClip *.Texture2D
 	Uplink	*.dat	
 	Urban Brawl: Action Doom 2	*.pk3 *.wad	*.png
 	Urban Terror	*.pk3	*.gif *.jpg *.jpeg *.tga *.wav
 	Uriel's Chasm 2	*.nw *.pak	*.ogg *.png
 	Ur-Lympiade	*.gfx *.sfx	
 	Urquan Masters	*.uqm	*.ogg *.png *.wav
 	US Marine Fighters	*.lib	
 	US Navy Fighters	*.lib	
 	USAF	*.ptt *.dem	
 	Uurnog	*.assets *.resS	*.AudioClip *.Texture2D
 	V Nekotorom Tsarstve	*.nw *.pak	*.jpg *.ogg *.png
 	Vampire Legends: The True Story Of Kisilova	*.cub	*.bmp *.ogg *.png *.wav
 	Vampire: The Masquerade	*.nob	
 	Vampires!	*.assets *.resS *.resource	*.Texture2D
 	Vanguard: Saga of Heroes	*.u	*.palette *.texture
 	Vault Of Honor	*.assets *.resS *.resource	*.Texture2D
 	Versailles 2	*.bf	
 	Vicky Saves the Big Dumb World	*.win	*.ogg *.png *.wav
 	Vietnam: Line Of Sight	*.za	*.dds *.tga
 	Viki Spotter: The Farm	*.assets *.resS *.resource	*.Texture2D
 	Viking Brothers 2	*.assets *.resS *.resource	*.Texture2D
 	Viking: Battle for Asgard	*.cpk *.pak *.pak *.pak	
 	Viking's Drakkars	*.assets *.resS *.resource	*.Texture2D
 	Vinyl Goddess	*.lbr	
 	Violent Vectors	*.win	*.ogg *.png *.wav
 	Viridi	*.assets *.resS *.resource	*.AudioClip *.Texture2D
 	Virtual Pool Tournament Edition [XBox]	*.ark	
 	Virtual Reality Notre Dame: A Real Time Construction	*.vnd *.u *.uax *.utx	*.palette *.texture *.texture
 	Virtual Remote Control Racing	*.dxw	*.wav
 	Viscera Cleanup Detail: Santa's Rampage	*.u *.upk	*.SoundNodeWave *.soundnodewave *.Texture2D
 	Visitors	*.assets *.assets.resS *.resource	*.Texture2D
 	Void Cube Runner	*.assets *.assets.resS *.resource	*.Texture2D
 	Void Source	*.win	*.png *.png
 	VoidExpanse	*.assets *.assets.resS *.resource *.cpk	*.jpg *.ogg *.png *.Texture2D
 	Volstead	*.win	*.png *.wav
 	Voxel Baller	*.assets *.resS *.resource	*.Texture2D
 	Voyage	*.bf	*.jpg *.ogg
 	VRog	*.assets *.resS *.resource	*.Texture2D
 	Vzerthos: Heir of Thunder	*.win	*.png *.wav
 	Wacky Wheels	*.dat	
 	Wanted Guns	*.pkf	
 	War of the Human Tanks	*.ald	*.ogg *.wav
 	War Rock	*.fpk	*.dds *.wav
 	WAR_WAR_WAR: Smiles vs Ghosts	*.assets *.assets.resS *.resource	*.Texture2D
 	Warcraft	*.war *.sud	*.wav
 	Warcraft 2	*.war *.sud	*.wav
 	Wargasm	*.xfs	*.wav
 	Warhammer 40,000 Space Marine	*.bnk *.oppc *.pck	*.dds
 	Warhammer 40k: Dawn Of War	*.rsh *.rtx *.wtp *.sga	*.bmp *.data *.palt *.dds *.jpg *.tga
 	Warhammer 40k: Fire Warrior	*.fsb	*.wav
 	Warhammer: End Times: Vermintide	*.bnk *.stream *.patch	
 	Wari	*.pak	
 	Wario World [GameCube]	*.rel *.rsc	
 	Warlords Battlecry	*.xcr	
 	Warlords Battlecry 2	*.xcr	
 	Warlords Battlecry 3	*.xcr	
 	Warning Forever	*.bin	*.ogg *.png
 	Warp Rider	*.assets *.resS *.resource	*.Texture2D
 	Warpath	*.wam *.u *.uax *.ukx *.usx *.utx	*.texture *.texture
 	Warrior Kings: Battles	*.bcp	
 	Warsow	*.pk3	*.jpg *.ogg *.png *.tga *.wav
 	WarWind	*.000 *.001 *.002 *.003 *.004 *.005	
 	Warzone 2100	*.wdg *.wz *.wz	*.ogg *.png
 	Watch This!	*.pak	*.png *.Texture2D
 	Watergate Xtreme	*.assets *.assets.resS *.resource	*.Texture2D
 	Weather Lord: Following the Princess	*.zca	*.jpg *.png
 	Weird Dungeon Explorer: Defender	*.nw *.pak	*.jpg *.ogg *.png
 	Weird Dungeon Explorer: Run Away	*.nw *.pak	*.ogg *.png
 	Weird Dungeon Explorer: Wave Beat	*.nw *.pak	*.ogg *.png
 	Weird Park	*.pack	*.jpg *.ogg *.png
 	Weird Park 2	*.pack	*.jpg *.ogg *.png
 	Weird Park 3	*.pack	*.bmp *.jpg *.ogg *.png
 	Wheel Of Time	*.wot *.u *.uax *.utx	*.palette *.texture *.texture
 	When They Arrived	*.assets *.assets.resS *.resource	*.Texture2D
 	Whispering Willows	*.assets	*.AudioClip *.Texture2D
 	White Noise 2	*.assets *.resS *.resource	*.Texture2D
 	Who Wants To Be A Millionaire [PS2]	*.pak	*.bmp
 	Why So Evil	*.assets	*.AudioClip *.Texture2D
 	Why So Evil 2: Dystopia	*.assets	*.AudioClip *.Texture2D
 	Wick	*.assets *.resS *.resource	*.Texture2D
 	Wild Terra Online	*.pak	*.jpg *.png
 	Win The Game: Do It!	*.win	*.png *.wav
 	Winamp	*.zip	
 	Windows Media Player	*.zip	
 	Wing Commander 3	*.tre *.tre	
 	Wing Commander 4: The Price Of Freedom	*.tre	*.gif *.wav
 	Wing Commander Prophecy	*.tre	
 	Wings Of Prey	*.fsb	*.mp3 *.wav
 	Wipeout Pure	*.wad	
 	Wishmere	*.assets *.resS *.resource	*.AudioClip *.Texture2D
 	Witch's Pranks: Frog's Fortune	*.assets *.shd	*.AudioClip *.Texture2D
 	Wizardry 8	*.slf	*.mp3 *.pcx *.tga *.wav
 	Wizball	*.dat	*.mp3 *.wav
 	Wolf Simulator	*.assets *.resS	*.AudioClip *.Texture2D
 	Wolfenstein: Enemy Territory	*.pk3	*.jpg *.tga *.wav
 	Wooden Floor	*.u *.upk	*.SoundNodeWave *.texture2d
 	Wooden Floor 2: Resurrection	*.u *.upk	*.SoundNodeWave *.texture2d
 	Woodlands	*.assets *.assets.resS *.resource	*.Texture2D
 	Woodle Tree Adventures	*.assets	*.AudioClip *.Texture2D
 	World Championship Poker 2	*.dag *.wad	
 	World In Conflict	*.sdf	
 	World Inside Out	*.assets *.resS *.resource	*.Texture2D
 	World Of Outlaws 2002	*.pre	
 	World Of Padman	*.pk3 *.zip	*.ico *.jpg *.ogg *.tga *.wav
 	World of Tea	*.nw *.pak	*.ogg *.png
 	World Of Warcraft	*.mpq	
 	World Racing	*.syn	
 	World Snooker Championship 2005	*.dat	
 	World Tour Soccer	*.con	
 	World War 2 Normandy	*.rez	
 	World War 2 Sniper - Call To Victory	*.rez	
 	World War 3: Black Gold	*.wd	*.tex *.wav
 	World War II Combat: Iwo Jima	*.u	*.palette *.texture
 	Worms	*.sfx *.sfx	*.wav
 	Worms 2	*.dir	*.img
 	Worms Armageddon	*.dir	
 	Worms Crazy Golf	*.zip	*.tga
 	Wrestle Mania 21	*.wad	
 	Wrestlers Without Boundaries	*.assets *.assets.resS *.resource	*.Texture2D
 	Wunderwaffe	*.nw *.pak	*.jpg *.ogg *.png
 	Wuppo	*.win	*.ogg *.png *.wav
 	Wurm Unlimited	*.jar	*.dds *.gif *.jpg *.ogg *.png
 	WWE Day Of Reckoning	*.tex	
 	WWE Raw 2 [XBox]	*.fpk	
 	WWE WMXXI	*.wad	*.tga *.wav
 	WWII Panzer Claws 2	*.wd	
 	WWII Tank Commander	*.pck	
 	X Motor Racing	*.trc	
 	Xargon	*.xr1	
 	Xatax	*.res	
 	X-Com Enforcer	*.u *.uax *.utx *.xcm	*.palette *.texture *.texture
 	Xenonauts	*.pfp	*.png
 	Xenosaga Episode 1	*.evt	
 	XIII	*.hxc *.u *.uax *.unr *.usx *.utx	*.palette *.texture *.texture
 	X-Men Legends 2	*.zip	
 	X-Men Legends 2: Rise Of Apocalypse	*.zsm *.zss	*.wav
 	X-Men Legends 2: Rise Of Apocalypse [XBox]	*.zsm *.zss	*.wav
 	X-Men: Legends [XBox]	*.zsm	*.wav
 	XORPLE	*.assets *.assets.resS *.resource	*.Texture2D
 	XPand Rally	*.pak	
 	XS Mark	*.pk1 *.pk2	
 	X-Wing	*.lfd	
 	Yatsumitsu Fists of Wrath	*.assets *.assets.resS *.resource	*.Texture2D
 	You Dont Know Jack!	*.srf	
 	You Dont Know Jack! Die Abwarts	*.srf	
 	You Dont Know Jack! Germany	*.srf	
 	You Dont Know Jack! Japan	*.srf	
 	You Dont Know Jack! OFFLINE	*.srf	
 	You Dont Know Jack! The Ride	*.srf	
 	You Dont Know Jack! UK	*.srf	
 	You Don't Know Jack! Volume 1 XL	*.srf	
 	You Dont Know Jack! Volume 2	*.srf	
 	You Dont Know Jack! Volume 3	*.srf	
 	You Green Elephant	*.pak	*.bmp *.wav
 	Your Car Shooter	*.win	*.png *.wav
 	Z	*.rsc	
 	Z55Z	*.win	*.png *.wav
 	Zak and Jack in Showdown at Monstertown	*.pak	*.jpg *.ogg *.png *.tga
 	ZAMBI 2 KIL	*.pak	*.png
 	Zanzarah	*.pak	
 	Zero G Arena	*.pak	*.ogg *.png *.Texture2D
 	Zero Population Count: No Flesh Shall Be Spared	*.sce *.shp *.snd	
 	Ziggurat	*.assets *.resS	*.AudioClip *.Texture2D
 	Zimbo	*.pak	*.png *.Texture2D
 	ZIP Archive	*.zip	
 	Zoids: Helic vs Zenebas [PS1]	*.gou	
 	Zombie Ballz	*.assets *.assets.resS *.resource	*.Texture2D
 	Zombie Boom	*.assets *.resS *.resource	*.Texture2D
 	Zombie Driver	*.zip	*.dds *.png *.tga
 	Zombie Pinball	*.bf	*.wav
 	Zombillie	*.assets *.resS	*.AudioClip *.Texture2D
 	Zomby Soldier	*.pak	*.png *.Texture2D
 	Zoo Tycoon	*.ztd	*.bmp *.tga
 	Zoo Tycoon 2: Endangered Species	*.z2f	*.dds *.jpg *.mp3 *.psd *.tga *.wav
 	Zoo Tycoon 2: Marine Mania	*.z2f	*.dds *.jpg *.mp3 *.psd *.tga *.wav
 	Zoombinis	*.assets *.resS *.resource	*.Texture2D
 	Zorro	*.gxl	*.pcx
 	Zuma's Revenge [iOS]	*.rsb	*.caf *.ptx
 	Zuma's Revenge	*.pak	*.gif *.jpg *.ogg *.png
 	Zuma's Revenge [PS3]	*.pak	*.jpg *.mp3 *.png *.ptx


>>> nconvert (v6.88) - IMAGE (https://www.xnview.com/en/nconvert/)
Name     Write  Description
-1            : Automatic (Only for input)
[*       ]     : JFIF based file 
[2bp     ]     : Pocket PC Bitmap 
[2d      ]     : Amapi 
[3fr     ]     : Hasselblad RAW 
[411     ]     : Mavica 
[a64     ]     : Artist 64 
[abmp    ]     : Alpha Microsystems BMP 
[abr     ]     : PS Brush 
[abs     ]     : Optocat 
[acc     ]     : Access 
[ace     ]     : ACE texture 
[aces    ]     : Aces200 
[acorn   ]     : Acorn Sprite 
[adex    ]     : ADEX 
[adt     ]     : AdTech perfectfax 
[afdesign�]     : Affinity designer 
[afphoto ]     : Affinity photo 
[afx     ]     : Auto F/X 
[ai      ]     : Adobe Illustrator 
[aim     ]     : AIM Grey Scale 
[aip     ]     : Starlight Xpress SX 500x291 RAW 
[aipd    ]     : AIPD image 
[alias   ]  *  : Alias Image File 
[ami     ]     : Amica Paint 
[ani     ]     : Windows Animated Cursor 
[anv     ]     : AirNav 
[aphp    ]     : Adobe PhotoParade (images) 
[apx     ]     : Ability Photopaint Image 
[arcib   ]  *  : ArcInfo Binary 
[arf     ]     : ARF 
[arn     ]     : Astronomical Research Network 
[art     ]     : Artisan 
[artdir  ]     : Art Director 
[arw     ]     : Sony RAW 
[atk     ]     : Andrew Toolkit raster object 
[att     ]     : AT&T Group 4 
[aurora  ]     : Aurora 
[avs     ]     : Stardent AVS X 
[avw     ]     : Analyze 
[az7     ]     : Analyze-7 
[b16     ]     : PCO 
[b3d     ]     : B3D (images) 
[bdr     ]     : Brender 
[bfli    ]     : BFLI 
[bfx     ]     : Bfx Bitware 
[bga     ]     : Os/2 Warp 
[bias    ]     : BIAS FringeProcessor 
[bif     ]     : byLight 
[biorad  ]  *  : Bio-Rad confocal 
[bip     ]     : Character Studio (thumbnail) 
[bld     ]     : MegaPaint 
[blend   ]     : Blender thumbnail 
[blp     ]     : BLP textures 
[bmc     ]     : Embroidery 
[bmg     ]     : Bert's Coloring 
[bmp     ]  *  : Windows Bitmap 
[bmp565  ]  *  : Windows Bitmap RGB565 
[bms     ]     : Playback Bitmap Sequence 
[bmx     ]     : Siemens Mobile 
[bob     ]     : Bob Raytracer 
[bpr     ]     : AAA logo 
[brk     ]     : Brooktrout 301 
[bsg     ]     : Fontasy Grafik 
[btn     ]     : JustButtons animated bitmap 
[bum     ]     : Poser Bump 
[byusir  ]     : BYU SIR 
[c4      ]     : Edmics 
[cadc    ]     : Autocad CAD-Camera 
[cals    ]     : CALS Raster 
[cam     ]     : Casio QV-10/100 Camera 
[can     ]     : Canon Navigator Fax 
[car     ]     : NeoBook Cartoon 
[cart    ]     : Crayola 
[cat     ]     : Photomatrix 
[cbmf    ]     : Corel Flow (preview) 
[cdr     ]     : Corel Draw Bitmap (preview) 
[cdu     ]     : CDU Paint 
[ce      ]     : Computer Eyes, Digital Vision 
[ce1     ]     : ComputerEyes Raw 
[cel     ]     : Kiss Cel 
[cft     ]     : Optigraphics 
[che     ]     : Cheese 
[cin     ]  *  : Kodak Cineon 
[cip     ]     : Cisco IP Phone 
[ciph    ]     : InterPaint (Hires) 
[cipt    ]     : InterPaint (Multicolor) 
[cish    ]     : Image System (Hires) 
[cism    ]     : Image System (Multicolor) 
[cloe    ]     : Cloe Ray-Tracer 
[clp     ]     : Windows Clipboard 
[cmt     ]     : Chinon ES-1000 digital camera 
[cmu     ]     : CMU Window Manager 
[cmx     ]     : Corel Metafile Exchange (preview) 
[cncd    ]     : CoverDesigner (images) 
[cnct    ]     : CoverDesigner Template (images) 
[cp8     ]     : CP8 256 Gray Scale 
[cpa     ]     : Prism 
[cpat    ]     : Corel Draw Pattern (preview) 
[cpc     ]     : Amstrad Cpc Screen 
[cpt     ]     : Corel PhotoPaint 6.0 
[cr2     ]     : Canon EOS-1D Mark II RAW 
[craw    ]     : Camera RAW 
[crd     ]     : PowerCard maker 
[crg     ]     : Calamus 
[crw     ]     : Canon PowerShot 
[csv     ]  *  : CSV 
[ct      ]     : Iris CT 
[cur     ]     : Windows Cursor 
[cut     ]     : Dr Halo 
[cvp     ]     : Portrait 
[cwg     ]     : CreateWithGarfield 
[d3d     ]     : TopDesign Thumbnail 
[dali    ]     : Dali Raw 
[dbw     ]     : DBW Render 
[dcmp    ]     : Discorp CMP Image 
[dcpy    ]     : Datacopy 
[dcr     ]     : Kodak Pro Digital RAW 
[dcx     ]  *  : Zsoft Multi-page Paintbrush 
[dd      ]     : Doodle C64 
[dds     ]  *  : Direct Draw Surface 
[degas   ]  *  : Degas & Degas Elite 
[dib     ]     : Windows DIB 
[dicom   ]     : Dicom 
[dkb     ]  *  : DKB Ray-Tracer 
[dng     ]     : DNG 
[dol     ]     : DolphinEd 
[doodle  ]     : Doodle Atari 
[dpx     ]  *  : DPX 
[drz     ]     : Draz Paint 
[dsi     ]     : CImage 
[dta     ]     : Zeiss BIVAS 
[dwg     ]     : DWG preview 
[ecc     ]     : Ecchi 
[efx     ]     : Everex Everfax 
[eidi    ]     : Electric Image 
[eif     ]     : Eroiica 
[epa     ]     : Award Bios Logo 
[epi     ]     : EPS Interchange Format 
[eps     ]     : Encapsulated Postscript 
[epsp    ]     : Encapsulated Postscript(Preview) 
[erf     ]     : Epson RAW 
[esm     ]     : Enhance Simplex 
[esmp    ]     : ESM Software Pix 
[eyes    ]     : Microtek Eyestar 
[f96     ]     : Fremont Fax96 
[face    ]     : Usenix FaceServer 
[fax     ]     : Fax Group 3 
[fbm     ]     : Fuzzy bitmap 
[fcx     ]     : Faxable PCX 
[fff     ]     : Imacon/Hasselblad RAW 
[fff     ]     : Maggi Hairstyles & Cosmetics 
[ffpg    ]     : Fenix Multi Map 
[fgs     ]     : Fun Graphics Machine Hires 
[fi      ]     : Flash Image 
[fit     ]     : FIT 
[fits    ]  *  : Flexible Image Transport System 
[fli     ]     : Autodesk Animator 
[fmag    ]     : FileMagic 
[fmap    ]     : Fenix Map 
